award_id,agency,detailed_status,grantee_organization,grantee_state,grantee_city,grantee_org_type,usasp_award_id,usasp_recipient_name,uei,parent_uei,parent_name,business_categories,usasp_address,usasp_city,usasp_state,usasp_country,usasp_zip5,usasp_county,usasp_congressional,usasp_pop_end,ein,bmf_name,bmf_city,bmf_zip5,ntee,bmf_revenue,match_tier,match_name_score,match_geo_score,match_method
NU38PW000040,cdc,Terminated,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,MA,BOSTON,"Junior College, College & University",ASST_NON_NU38PW000040_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,JDLVAVGYJQ21,JR2RTJW1HBW6,HARVARD COLLEGE PRESIDENT & FELLOWS OF,Higher Education|Higher Education (Private),25 SHATTUCK ST,BOSTON,MA,USA,02115,SUFFOLK,07,2027-07-31,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,0.0,exact-name
NH78TU000001,cdc,Terminated,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,MA,Cambridge,"Junior College, College & University",ASST_NON_NH78TU000001_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2029-09-29,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
R01TS000315,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",,,,,,,,,,,,,,,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,0.0,exact-name
R01TS000318,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",,,,,,,,,,,,,,,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,0.0,exact-name
R01TS000338,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",,,,,,,,,,,,,,,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,0.0,exact-name
R21OH012626,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",ASST_NON_R21OH012626_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Public),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2027-04-30,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
T42OH008416,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",ASST_NON_T42OH008416_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2028-06-30,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
U19OH008861,cdc,Terminated,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,MA,Cambridge,"Junior College, College & University",ASST_NON_U19OH008861_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2026-08-31,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
U48DP006376,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",ASST_NON_U48DP006376_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2026-03-29,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
U48DP006785,cdc,Terminated,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,MA,Cambridge,"Junior College, College & University",ASST_NON_U48DP006785_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2029-09-29,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
U48DP006873,cdc,Terminated,President and Fellows of Harvard College,MA,Cambridge,"Junior College, College & University",ASST_NON_U48DP006873_075,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,UNVDZNFA8R29,UNVDZNFA8R29,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,Higher Education|Higher Education (Private),1033 MASSACHUSETTS AVE STE 3,CAMBRIDGE,MA,USA,02138,MIDDLESEX,05,2029-09-29,042103580,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,CAMBRIDGE,02138,B500,0,YES,1.0,1.5,exact-name+geo
U54CK000611,cdc,Terminated,"HARVARD PILGRIM HEALTH CARE, INC.",MA,CANTON,"Intermediary Organization ( Insurance, Etc. )",ASST_NON_U54CK000611_075,"HARVARD PILGRIM HEALTH CARE, INC.",NZVVQ8GNVX65,,,Nonprofit Organization,1 WELLNESS WAY,CANTON,MA,USA,02021,NORFOLK,08,2027-05-31,042452600,HARVARD PILGRIM HEALTH CARE INC,CANTON,02021,E310,2453284172,YES,1.0,1.5,exact-name+geo
NH75OT000066,cdc,Reinstated (confirmed),COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,CO,DENVER,Health Department,ASST_NON_NH75OT000066_075,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,Y3WEW9MQ6NH5,,,Government|U.S. Regional/State Government,4300 CHERRY CREEK DR S,DENVER,CO,USA,80246,ARAPAHOE,01,2026-05-31,,,,,,,GOV,0,0,government-entity
NU2HGH000031,cdc,Reinstated (confirmed),WASHINGTON STATE UNIVERSITY,WA,PULLMAN,"Junior College, College & University",ASST_NON_NU2HGH000031_075,WASHINGTON STATE UNIVERSITY,XRJSGX384TD6,,,Higher Education|Higher Education (Public),240 FRENCH ADMINISTRATION BLDG,PULLMAN,WA,USA,99164,WHITMAN,05,2026-06-30,020805839,WASHINGTON STATE UNIVERSITY,PORT ANGELES,98363,O52,0,YES,1.0,0.0,exact-name
NU50CK000614,cdc,Reinstated (confirmed),UNIVERSITY OF CALIFORNIA IRVINE,CA,IRVINE,"Junior College, College & University",ASST_NON_NU50CK000614_075,UNIVERSITY OF CALIFORNIA IRVINE,MJC5FCYQTPE6,MJC5FCYQTPE6,UNIVERSITY OF CALIFORNIA IRVINE,Higher Education|Higher Education (Public),160 ALDRICH HALL,IRVINE,CA,USA,92697,ORANGE,47,2026-07-31,952226406,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT IRVINE,IRVINE,92617,,,YES,1.0,0.5,exact-name+geo-modulo-governance
NU50CK000615,cdc,Reinstated (confirmed),UNIVERSITY OF WASHINGTON,WA,SEATTLE,"Junior College, College & University",ASST_NON_NU50CK000615_075,UNIVERSITY OF WASHINGTON,HD1WMN6945W6,,,Higher Education|Higher Education (Private),4333 BROOKLYN AVE NE,SEATTLE,WA,USA,98195,KING,07,2026-07-31,911486484,UNIVERSITY OF WASHINGTON,SEATTLE,98109,J40,0,YES,1.0,0.5,exact-name+geo
U01CK000643,cdc,Reinstated (confirmed),"UNIVERSITY OF CALIFORNIA, LOS ANGELES",CA,LOS ANGELES,"Junior College, College & University",ASST_NON_U01CK000643_075,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",RN64EPNH8JC6,,,,10889 WILSHIRE BLVD STE 700,LOS ANGELES,CA,USA,90024,LOS ANGELES,36,2027-04-30,,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,,,,NO,0.877,0.5,name+geo (closest rejected)
U01GH002346,cdc,Reinstated (confirmed),WASHINGTON STATE UNIVERSITY,WA,PULLMAN,"Junior College, College & University",ASST_NON_U01GH002346_075,WASHINGTON STATE UNIVERSITY,XRJSGX384TD6,,,,240 FRENCH ADMINISTRATION BLDG,PULLMAN,WA,USA,99164,WHITMAN,05,2026-09-29,020805839,WASHINGTON STATE UNIVERSITY,PORT ANGELES,98363,O52,0,YES,1.0,0.0,exact-name
NU2HGH000100,cdc,Reinstated (confirmed),UNIVERSITY OF WASHINGTON,WA,SEATTLE,"Junior College, College & University",ASST_NON_NU2HGH000100_075,UNIVERSITY OF WASHINGTON,HD1WMN6945W6,EJ1MZKTX7GR7,UNIVERSITY OF WASHINGTON INC,Higher Education|Higher Education (Public),4333 BROOKLYN AVE NE,SEATTLE,WA,USA,98195,KING,07,2026-09-29,911486484,UNIVERSITY OF WASHINGTON,SEATTLE,98109,J40,0,YES,1.0,0.5,exact-name+geo
NH23IP922583,cdc,Reinstated (confirmed),CITY OF PHILADELPHIA,PA,Philadelphia,Health Department,ASST_NON_NH23IP922583_075,CITY OF PHILADELPHIA,NVHLFCAN68G9,,CITY OF PHILADELPHIA,Government|U.S. Regional/State Government,1101 MARKET ST FL 12,PHILADELPHIA,PA,USA,19107,PHILADELPHIA,02,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922594,cdc,Reinstated (confirmed),"HEALTH, NEW JERSEY DEPARTMENT OF",NJ,TRENTON,Health Department,ASST_NON_NH23IP922594_075,"HEALTH, NEW JERSEY DEPARTMENT OF",MQKPEU6D1BT5,,,Government|U.S. Regional/State Government,55 N WILLOW ST,TRENTON,NJ,USA,08608,MERCER,12,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922596,cdc,Reinstated (confirmed),"DISTRICT OF COLUMBIA, GOVERNMENT OF",DC,WASHINGTON,Health Department,ASST_NON_NH23IP922596_075,"DISTRICT OF COLUMBIA, GOVERNMENT OF",XUYTN6MMLKE3,,,Government|U.S. Regional/State Government,2201 SHANNON PL SE,WASHINGTON,DC,USA,20020,DISTRICT OF COLUMBIA,98,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922598,cdc,Reinstated (confirmed),EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,DE,DOVER,Planning & Administrative Organizations,ASST_NON_NH23IP922598_075,EXECUTIVE OFFICE OF THE GOVERNOR OF DELAWARE,GKQPH6J32LN7,,,Government|U.S. Regional/State Government,417 FEDERAL ST STE 1,DOVER,DE,USA,19901,KENT,00,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922599,cdc,Reinstated (confirmed),ARIZONA DEPARTMENT OF HEALTH SERVICES,AZ,PHOENIX,Health Department,ASST_NON_NH23IP922599_075,ARIZONA DEPARTMENT OF HEALTH SERVICES,QMWUG1AMYF65,,,Government|U.S. Regional/State Government,150 N 18TH AVE STE 530,PHOENIX,AZ,USA,85007,MARICOPA,03,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922600,cdc,Reinstated (confirmed),COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,CO,DENVER,Health Department,ASST_NON_NH23IP922600_075,COLORADO DEPARTMENT OF PUBLIC HEALTH & ENVIRONMENT,Y3WEW9MQ6NH5,UVYMYSLJJUP4,THE STATE HISTORICAL SOCIETY OF COLORADO,Government|U.S. Regional/State Government,4300 CHERRY CREEK DR S,DENVER,CO,USA,80246,ARAPAHOE,01,2025-06-30,,,,,,,GOV,0,0,government-entity
NH23IP922602,cdc,Reinstated (confirmed),DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,CT,HARTFORD,Health Department,ASST_NON_NH23IP922602_075,DEPARTMENT OF PUBLIC HEALTH CONNECTICUT,RFZKKT5RU3F8,DJD3ZBJ1HNL7,CONSUMER PROTECTION CONNECTICUT DEPARTMENT,Government|U.S. Regional/State Government,410 CAPITOL AVE,HARTFORD,CT,USA,06106,CAPITOL,01,2025-06-30,,,,,,,GOV,0,0,government-entity
